index,question,classification,intent,sentence_length,num_arabic_stopwords,repeated_words,num_special_chars,num_repeated_words
0,أبحث هاتف سامسونج,simple,search_product,4,1,{},1,0
1,عرض لابتوبات الألعاب,simple,search_product,4,1,{},1,0
2,أريد تيشيرتات رجالية,simple,search_product,3,0,{},1,0
3,ابغى أجهزة منزلية,simple,search_product,3,0,{},1,0
4,دوري اكسسوارات موبايل,simple,search_product,4,1,{},1,0
5,فين ألاقي أحذية رياضية ماركة نايكي,simple,search_product,6,0,{},1,0
6,أريد البحث سماعات بلوتوث,simple,search_product,5,1,{},1,0
7,لديكم ألعاب بلاي ستيشن 5,simple,search_product,6,1,{},1,0
8,أبحث غسالة ملابس,simple,search_product,4,1,{},1,0
9,اعرض ساعات ذكية,simple,search_product,4,1,{},1,0
10,أرغب البحث هاتف آيفون 15 برو ماكس باللون الأزرق وبسعة 256 جيجابايت,complex,search_product,14,2,{},1,0
11,يمكنني العثور لابتوب للألعاب ماركة msi بمعالج i9 وكرت شاشة rtx 4080,complex,search_product,15,3,{},1,0
12,أبحث فستان سهرة طويل بلون أسود ومقاس m,complex,search_product,9,1,{},1,0
13,أريد حذاء رياضي أديداس للجري باللون الأبيض ومقاس 42,complex,search_product,10,1,{},1,0
14,ابغى ثلاجة بابين إل جي كفاءة طاقة عالية,complex,search_product,10,2,{},1,0
15,دوري سماعة رأس لاسلكية سوني تكون مريحة للاستخدام الطويل,complex,search_product,12,3,{},2,0
16,لديكم ألعاب مغامرات لجهاز نينتندو سويتش تناسب الأطفال,complex,search_product,9,1,{},1,0
17,أريد ساعة ذكية هواوي تدعم قياس نبضات القلب ومقاومة للماء,complex,search_product,11,1,{},1,0
18,ابحث طابعة ليزر متعددة الوظائف إتش مناسبة للمكاتب الصغيرة,complex,search_product,12,2,{},2,0
19,أرغب البحث كاميرا احترافية بعدسة 50mm,complex,search_product,10,4,{},1,0
20,سعر آيفون 15,simple,ask_price,4,1,{},1,0
21,بكام لابتوب ديل xps 15,simple,ask_price,5,0,{},1,0
22,سعر فستان سهرة أحمر,simple,ask_price,6,2,{},1,0
23,قيمة حذاء نايكي إير ماكس,simple,ask_price,6,1,{},1,0
24,سعر غسالة إل جي 8 كيلو,simple,ask_price,6,0,{},1,0
25,لعبة فيفا 24,simple,ask_price,4,1,{},1,0
26,يكلف الشاحن اللاسلكي أنكر,simple,ask_price,6,2,{},1,0
27,سعر ساعة هواوي واتش جي 4,simple,ask_price,8,2,{},1,0
28,بكام شاشة سامسونج 55 بوصة,simple,ask_price,5,0,{},1,0
29,سعر سماعة ايربودز برو الجيل الثاني,simple,ask_price,6,0,{},1,0
