index,question,classification,intent,sentence_length,num_arabic_stopwords,repeated_words,num_special_chars,num_repeated_words
0,أبحث عن هاتف سامسونج.,simple,search_product,4,1,{},1,0
1,عرض لي لابتوبات الألعاب.,simple,search_product,4,1,{},1,0
2,أريد تيشيرتات رجالية.,simple,search_product,3,0,{},1,0
3,ابغى أجهزة منزلية.,simple,search_product,3,0,{},1,0
4,دوري على اكسسوارات موبايل.,simple,search_product,4,1,{},1,0
5,فين ألاقي أحذية رياضية ماركة نايكي؟,simple,search_product,6,0,{},1,0
6,أريد البحث عن سماعات بلوتوث.,simple,search_product,5,1,{},1,0
7,هل لديكم ألعاب بلاي ستيشن 5؟,simple,search_product,6,1,{},1,0
8,أبحث عن غسالة ملابس.,simple,search_product,4,1,{},1,0
9,اعرض لي ساعات ذكية.,simple,search_product,4,1,{},1,0
10,أرغب في البحث عن هاتف آيفون 15 برو ماكس باللون الأزرق وبسعة 256 جيجابايت.,complex,search_product,14,2,{},1,0
11,هل يمكنني العثور على لابتوب للألعاب من ماركة MSI بمعالج i9 وكرت شاشة RTX 4080؟,complex,search_product,15,3,{},1,0
12,أبحث عن فستان سهرة طويل بلون أسود ومقاس M.,complex,search_product,9,1,{},1,0
13,أريد حذاء رياضي من أديداس للجري باللون الأبيض ومقاس 42.,complex,search_product,10,1,{},1,0
14,ابغى ثلاجة بابين من إل جي ذات كفاءة طاقة عالية.,complex,search_product,10,2,{},1,0
15,دوري لي على سماعة رأس لاسلكية من سوني، تكون مريحة للاستخدام الطويل.,complex,search_product,12,3,{},2,0
16,هل لديكم ألعاب مغامرات لجهاز نينتندو سويتش تناسب الأطفال؟,complex,search_product,9,1,{},1,0
17,أريد ساعة ذكية من هواوي تدعم قياس نبضات القلب ومقاومة للماء.,complex,search_product,11,1,{},1,0
18,ابحث عن طابعة ليزر متعددة الوظائف من إتش بي، مناسبة للمكاتب الصغيرة.,complex,search_product,12,2,{},2,0
19,أرغب في البحث عن كاميرا احترافية من كانون بعدسة 50mm.,complex,search_product,10,4,{},1,0
20,كم سعر آيفون 15؟,simple,ask_price,4,1,{},1,0
21,بكام لابتوب ديل XPS 15؟,simple,ask_price,5,0,{},1,0
22,ما هو سعر فستان سهرة أحمر؟,simple,ask_price,6,2,{},1,0
23,كم قيمة حذاء نايكي إير ماكس؟,simple,ask_price,6,1,{},1,0
24,سعر غسالة إل جي 8 كيلو.,simple,ask_price,6,0,{},1,0
25,بكم لعبة فيفا 24؟,simple,ask_price,4,1,{},1,0
26,كم يكلف الشاحن اللاسلكي من أنكر؟,simple,ask_price,6,2,{},1,0
27,ما سعر ساعة هواوي واتش جي تي 4؟,simple,ask_price,8,2,{},1,0
28,بكام شاشة سامسونج 55 بوصة؟,simple,ask_price,5,0,{},1,0
29,سعر سماعة ايربودز برو الجيل الثاني؟,simple,ask_price,6,0,{},1,0
30,أرغب في معرفة سعر هاتف سامسونج جالكسي S24 ألترا باللون الأسود وبسعة 512 جيجابايت.,complex,ask_price,14,1,{},1,0
31,كم سعر لابتوب ماك بوك برو M3 مع شاشة 16 بوصة وهل هناك خصومات؟,complex,ask_price,14,3,{},1,0
32,ما هو سعر جاكيت جلد رجالي مقاس L وهل يوجد منه ألوان أخرى غير البني؟,complex,ask_price,15,4,{},1,0
33,بكم حذاء رياضي أبيض من بوما مقاس 43 وهل يشمل الضريبة؟,complex,ask_price,11,2,{},1,0
34,كم سعر فرن كهربائي من بوش سعة 70 لتر وهل يوجد عليه عرض خاص؟,complex,ask_price,14,3,{},1,0
35,ما هو سعر لعبة سايبربانك 2077 لجهاز بلاي ستيشن 5 وهل تأتي معها إضافة Phantom Liberty؟,complex,ask_price,16,2,{},1,0
36,بكم شاشة منحنية من سامسونج 27 بوصة وهل سعرها يشمل التوصيل والتركيب؟,complex,ask_price,12,2,{},1,0
37,كم سعر كاميرا نيكون D7500 وهل يمكنني الحصول على عدسة إضافية معها بسعر مخفض؟,complex,ask_price,14,2,{},1,0
38,ما هو سعر سماعة جيه بي إل فليب 6 وهل هي مقاومة للماء؟,complex,ask_price,13,4,{},1,0
39,بكم سعر جهاز التلفزيون الذكي من سوني برافيا حجم 65 بوصة وهل يدعم تقنية 4K؟,complex,ask_price,15,2,{},1,0
40,مقارنة بين آيفون 15 برو وسامسونج جالكسي S24 ألترا.,simple,compare_products,9,1,{},1,0
41,قارن بين لابتوب ديل XPS 13 ولابتوب ماك بوك إير M2.,simple,compare_products,11,1,{},1,0
42,أيهما أفضل، فستان سهرة أحمر أم أزرق؟,simple,compare_products,7,1,{},2,0
43,أيهما أنسب للجري، حذاء نايكي أو أديداس؟,simple,compare_products,7,1,{},2,0
44,مقارنة بين غسالة إل جي وغسالة سامسونج.,simple,compare_products,7,1,{},1,0
